sp_I_05,fA_I_05,fB_I_05,qs_I_05,time_05
0.9726293,1.0407672,1.0273651,1.030073,2014-09-24 17:50:21.483
0.9730902,1.0425534,1.0296295,1.031882,2014-09-24 17:50:22.483
0.9718336,1.0410125,1.0281616,1.0303402,2014-09-24 17:50:23.483
0.9754504,1.04266,1.029557,1.0325317,2014-09-24 17:50:24.483
0.97184724,1.0397766,1.027377,1.0297469,2014-09-24 17:50:25.483
0.9726416,1.0406834,1.0282259,1.0310849,2014-09-24 17:50:26.483
0.97298586,1.0404423,1.0273787,1.0298196,2014-09-24 17:50:27.483
0.9716979,1.0389504,1.0269159,1.0293065,2014-09-24 17:50:28.483
0.9718016,1.0397148,1.0263888,1.0288868,2014-09-24 17:50:29.483
0.9743227,1.0415931,1.0286185,1.0317179,2014-09-24 17:50:30.483
0.9736991,1.0398415,1.0275625,1.0298495,2014-09-24 17:50:31.483
0.9739448,1.0411117,1.0267756,1.0295882,2014-09-24 17:50:32.483
0.9722062,1.0386988,1.0277344,1.0302839,2014-09-24 17:50:33.483
0.97340477,1.0400531,1.0281912,1.0310034,2014-09-24 17:50:34.483
0.9734189,1.0406518,1.0284073,1.0298414,2014-09-24 17:50:35.483
0.9730351,1.0397611,1.0281748,1.0311859,2014-09-24 17:50:36.483
0.9721415,1.0393382,1.0274725,1.0295959,2014-09-24 17:50:37.483
0.97117233,1.0382332,1.0273196,1.0299888,2014-09-24 17:50:38.483
0.97314787,1.0395855,1.0278622,1.0308752,2014-09-24 17:50:39.483
0.9730365,1.0401448,1.0275629,1.0305933,2014-09-24 17:50:40.483
0.97446674,1.0402398,1.0284442,1.0317727,2014-09-24 17:50:41.483
0.974051,1.0390271,1.0287924,1.0307007,2014-09-24 17:50:42.483
0.97464955,1.0403662,1.029634,1.0314239,2014-09-24 17:50:43.483
0.97373027,1.0403254,1.0296948,1.0309919,2014-09-24 17:50:44.483
0.9746204,1.0402049,1.0291567,1.031156,2014-09-24 17:50:45.483
0.9739144,1.0391563,1.0296891,1.0310674,2014-09-24 17:50:46.483
0.9731687,1.0392622,1.0292456,1.0306047,2014-09-24 17:50:47.483
0.9725524,1.0386212,1.0283906,1.0307696,2014-09-24 17:50:48.483
0.9739177,1.040303,1.0305759,1.031795,2014-09-24 17:50:49.483
0.97462636,1.040104,1.0301305,1.031894,2014-09-24 17:50:50.483
0.97378,1.0395107,1.0293566,1.0307635,2014-09-24 17:50:51.483
0.9742584,1.040142,1.0283744,1.0313028,2014-09-24 17:50:52.483
0.9734439,1.0386109,1.0281012,1.0297989,2014-09-24 17:50:53.483
0.9724515,1.037508,1.0273159,1.0290029,2014-09-24 17:50:54.483
0.9742141,1.0399133,1.0298101,1.0316322,2014-09-24 17:50:55.483
0.97478205,1.0412023,1.0296086,1.0312389,2014-09-24 17:50:56.483
0.97536725,1.0407213,1.0296056,1.0312905,2014-09-24 17:50:57.483
0.97630584,1.0422938,1.0316242,1.0333929,2014-09-24 17:50:58.483
0.9767512,1.0411955,1.0298845,1.0323945,2014-09-24 17:50:59.483
0.9726713,1.0377988,1.0285509,1.0308725,2014-09-24 17:51:00.483
0.97513837,1.0402937,1.0297687,1.0321592,2014-09-24 17:51:01.483
0.97507095,1.0405455,1.0305643,1.0331753,2014-09-24 17:51:02.483
0.9752108,1.039433,1.0281886,1.0304286,2014-09-24 17:51:03.483
0.97542566,1.0403903,1.0291721,1.0321805,2014-09-24 17:51:04.483
0.9741378,1.0395945,1.0301025,1.0323424,2014-09-24 17:51:05.483
0.9755923,1.0400333,1.0303056,1.0319387,2014-09-24 17:51:06.483
0.9740914,1.0398661,1.0301958,1.0319175,2014-09-24 17:51:07.483
0.9732336,1.0383627,1.028865,1.0316662,2014-09-24 17:51:08.483
0.9749141,1.04,1.0303081,1.0327655,2014-09-24 17:51:09.483
0.9726695,1.0358613,1.0272485,1.0299753,2014-09-24 17:51:10.483
0.974981,1.0395522,1.030179,1.0321839,2014-09-24 17:51:11.483
0.97444457,1.0393966,1.0297568,1.0321543,2014-09-24 17:51:12.483
0.9750007,1.0392476,1.0287322,1.0319351,2014-09-24 17:51:13.483
0.97539544,1.0391183,1.0291128,1.0309154,2014-09-24 17:51:14.483
0.9759773,1.039921,1.0298661,1.032571,2014-09-24 17:51:15.483
0.9772936,1.0415454,1.0308896,1.0342634,2014-09-24 17:51:16.483
0.9757103,1.0397823,1.0301358,1.032814,2014-09-24 17:51:17.483
0.9741912,1.0391762,1.0289453,1.0323541,2014-09-24 17:51:18.483
0.97531134,1.0395665,1.0294462,1.0316353,2014-09-24 17:51:19.483
0.97627056,1.0401716,1.0298917,1.0333209,2014-09-24 17:51:20.483
0.9772572,1.0390747,1.0289437,1.0319387,2014-09-24 17:51:21.483
0.9748307,1.0382006,1.0278496,1.0320445,2014-09-24 17:51:22.483
0.97851336,1.0434893,1.0326936,1.0359492,2014-09-24 17:51:23.483
0.9754003,1.040122,1.0299311,1.0332325,2014-09-24 17:51:24.483
0.9765954,1.0402298,1.0297831,1.0330158,2014-09-24 17:51:25.483
0.9759091,1.0392256,1.0287056,1.0320338,2014-09-24 17:51:26.483
0.9757615,1.0378401,1.0276392,1.0315583,2014-09-24 17:51:27.483
0.9763459,1.0386144,1.0285176,1.0332036,2014-09-24 17:51:28.483
0.97506654,1.0385804,1.0284203,1.032268,2014-09-24 17:51:29.483
0.97791475,1.0418229,1.0316807,1.0354251,2014-09-24 17:51:30.483
0.9773832,1.0405643,1.029507,1.0333263,2014-09-24 17:51:31.483
0.97802144,1.0410511,1.0299318,1.034483,2014-09-24 17:51:32.483
0.9758869,1.0392015,1.0285723,1.032526,2014-09-24 17:51:33.483
0.9773059,1.0411683,1.0301477,1.0338295,2014-09-24 17:51:34.483
0.9767852,1.040696,1.0304432,1.0344927,2014-09-24 17:51:35.483
0.9763755,1.039177,1.0288376,1.0334532,2014-09-24 17:51:36.483
0.9781618,1.0415504,1.0305668,1.0344226,2014-09-24 17:51:37.483
0.9758254,1.0392914,1.0286545,1.0330374,2014-09-24 17:51:38.483
0.9773316,1.0397681,1.0290803,1.0334805,2014-09-24 17:51:39.483
